Horário;Precipitação do Período;Radiação Solar;Radiação Solar 1;Radiação Solar 2;Temperatura do Ar;Umidade do Ar;Vento Velocidade;Manutenção;Observação manutenção;
06/05/2021 19:30;NA;NA;NA;0,000;27,260;85,300;0,000;Não;;
06/05/2021 19:40;NA;0,000;0,000;0,000;27,140;85,900;0,000;Não;;
06/05/2021 19:50;NA;0,000;0,000;0,000;27,160;87,300;0,000;Não;;
06/05/2021 20:00;NA;0,000;0,000;0,000;26,940;88,200;0,000;Não;;
06/05/2021 20:10;NA;0,000;0,000;0,000;26,660;89,700;0,000;Não;;
06/05/2021 20:20;NA;0,000;0,000;0,000;26,350;90,200;0,000;Não;;
06/05/2021 20:30;NA;0,000;0,000;0,000;26,200;89,800;0,000;Não;;
06/05/2021 20:40;NA;0,000;0,000;0,000;26,080;89,700;0,000;Não;;
06/05/2021 20:50;NA;0,000;0,000;0,000;26,000;90,100;0,000;Não;;
06/05/2021 21:00;NA;0,000;0,000;0,000;25,930;90,300;0,000;Não;;
06/05/2021 21:10;NA;0,000;0,000;0,000;25,900;90,600;0,000;Não;;
06/05/2021 21:20;NA;0,000;0,000;0,000;25,900;91,100;0,000;Não;;
06/05/2021 21:30;NA;0,000;0,000;0,000;25,900;91,100;0,000;Não;;
06/05/2021 21:40;NA;0,000;0,000;0,000;25,910;91,900;0,000;Não;;
06/05/2021 21:50;NA;0,000;0,000;0,000;25,830;92,000;0,000;Não;;
06/05/2021 22:00;NA;0,000;0,000;0,000;25,880;91,900;0,000;Não;;
06/05/2021 22:10;NA;0,000;0,000;0,000;25,870;92,200;0,000;Não;;
06/05/2021 22:20;NA;0,000;0,000;0,000;25,890;91,900;0,000;Não;;
06/05/2021 22:30;NA;0,000;0,000;0,000;25,820;91,600;0,000;Não;;
06/05/2021 22:40;NA;0,000;0,000;0,000;26,090;89,800;0,000;Não;;
06/05/2021 22:50;NA;0,000;0,000;0,000;26,100;89,700;0,000;Não;;
06/05/2021 23:00;NA;0,000;0,000;0,000;25,960;90,500;0,000;Não;;
06/05/2021 23:10;NA;0,000;0,000;0,000;25,750;91,600;0,000;Não;;
06/05/2021 23:20;NA;0,000;0,000;0,000;25,700;92,800;0,000;Não;;
06/05/2021 23:30;NA;0,000;0,000;0,000;25,590;94,300;0,000;Não;;
06/05/2021 23:40;NA;0,000;0,000;0,000;25,550;93,700;0,000;Não;;
06/05/2021 23:50;NA;0,000;0,000;0,000;25,570;92,900;0,000;Não;;
07/05/2021 00:00;NA;0,000;0,000;0,000;25,490;93,800;0,000;Não;;
07/05/2021 00:10;NA;0,000;0,000;0,000;25,450;94,000;0,000;Não;;
07/05/2021 00:20;NA;0,000;0,000;0,000;25,260;94,800;0,000;Não;;
07/05/2021 00:30;NA;0,000;0,000;0,000;25,210;95,300;0,000;Não;;
07/05/2021 00:40;NA;0,000;0,000;0,000;25,180;95,200;0,000;Não;;
07/05/2021 00:50;NA;0,000;0,000;0,000;25,160;95,400;0,000;Não;;
07/05/2021 01:00;NA;0,000;0,000;0,000;25,070;95,600;0,000;Não;;
07/05/2021 01:10;NA;0,000;0,000;0,000;25,040;95,500;0,000;Não;;
07/05/2021 01:20;NA;0,000;0,000;0,000;24,970;95,600;0,000;Não;;
07/05/2021 01:30;NA;0,000;0,000;0,000;24,920;95,400;0,000;Não;;
07/05/2021 01:40;NA;0,000;0,000;0,000;24,920;95,200;0,000;Não;;
07/05/2021 01:50;NA;0,000;0,000;0,000;25,070;94,800;0,000;Não;;
07/05/2021 02:00;NA;0,000;0,000;0,000;25,080;94,500;0,000;Não;;
07/05/2021 02:10;NA;0,000;0,000;0,000;25,110;93,800;0,000;Não;;
07/05/2021 02:20;NA;0,000;0,000;0,000;25,200;93,200;0,000;Não;;
07/05/2021 02:30;NA;0,000;0,000;0,000;25,190;93,200;0,000;Não;;
07/05/2021 02:40;NA;0,000;0,000;0,000;25,170;93,000;0,000;Não;;
07/05/2021 02:50;NA;0,000;0,000;0,000;25,220;92,500;0,000;Não;;
07/05/2021 03:00;NA;0,000;0,000;0,000;25,210;92,100;0,000;Não;;
07/05/2021 03:10;NA;0,000;0,000;0,000;24,950;93,300;0,000;Não;;
07/05/2021 03:20;NA;0,000;0,000;0,000;24,770;93,900;0,000;Não;;
07/05/2021 03:30;NA;0,000;0,000;0,000;24,680;94,100;0,000;Não;;
07/05/2021 03:40;NA;0,000;0,000;0,000;24,590;94,100;0,000;Não;;
07/05/2021 03:50;NA;0,000;0,000;0,000;24,580;93,900;0,000;Não;;
07/05/2021 04:00;NA;0,000;0,000;0,000;24,520;94,500;0,000;Não;;
07/05/2021 04:10;NA;0,000;0,000;0,000;24,390;95,400;0,000;Não;;
07/05/2021 04:20;NA;0,000;0,000;0,000;24,290;96,100;0,000;Não;;
07/05/2021 04:30;NA;0,000;0,000;0,000;24,280;96,600;0,000;Não;;
07/05/2021 04:40;NA;0,000;0,000;0,000;24,310;96,900;0,000;Não;;
07/05/2021 04:50;NA;0,000;0,000;0,000;24,400;96,700;0,000;Não;;
07/05/2021 05:00;NA;0,000;0,000;0,000;24,420;96,600;0,000;Não;;
07/05/2021 05:10;NA;0,000;0,000;0,000;24,450;96,600;0,000;Não;;
07/05/2021 05:20;NA;0,000;0,000;0,000;24,480;96,200;0,000;Não;;
07/05/2021 05:30;NA;0,000;0,000;0,000;24,460;95,900;0,000;Não;;
07/05/2021 05:40;NA;0,000;0,000;0,000;24,400;96,000;0,000;Não;;
07/05/2021 05:50;NA;0,000;0,000;0,000;24,350;96,400;0,000;Não;;
07/05/2021 06:00;NA;0,000;0,000;0,000;24,290;96,700;0,000;Não;;
07/05/2021 06:10;NA;0,000;0,000;0,000;24,290;97,100;0,000;Não;;
07/05/2021 06:20;NA;0,000;0,000;0,000;24,320;97,400;0,000;Não;;
07/05/2021 06:30;NA;0,000;0,000;0,000;24,350;97,500;0,000;Não;;
07/05/2021 06:40;NA;0,000;0,000;0,000;24,340;97,500;0,000;Não;;
07/05/2021 06:50;NA;0,000;0,000;0,000;24,330;97,600;0,000;Não;;
07/05/2021 07:00;NA;0,000;0,000;0,000;24,360;97,700;0,000;Não;;
07/05/2021 07:10;NA;0,000;1,110;1,091;24,350;97,700;0,000;Não;;
07/05/2021 07:20;NA;0,000;4,128;4,219;24,380;97,700;0,000;Não;;
07/05/2021 07:30;NA;0,000;13,260;13,580;24,390;97,400;0,000;Não;;
07/05/2021 07:40;NA;0,000;23,360;24,070;24,440;97,200;0,000;Não;;
07/05/2021 07:50;NA;2,985;29,410;30,360;24,560;97,000;0,000;Não;;
07/05/2021 08:00;NA;2,839;49,500;50,940;24,740;96,500;0,000;Não;;
07/05/2021 08:10;NA;0,000;68,030;69,960;24,960;95,700;0,000;Não;;
07/05/2021 08:20;NA;7,655;60,490;62,020;25,100;95,000;0,000;Não;;
07/05/2021 08:30;NA;19,720;70,730;72,060;25,230;94,600;0,000;Não;;
07/05/2021 08:40;NA;26,310;89,400;90,800;25,430;93,900;0,000;Não;;
07/05/2021 08:50;NA;29,890;85,400;86,800;25,600;93,400;0,000;Não;;
07/05/2021 09:00;NA;19,790;45,610;46,490;25,690;93,100;0,000;Não;;
07/05/2021 09:10;NA;27,850;53,610;54,900;25,740;91,900;0,000;Não;;
07/05/2021 09:20;NA;21,910;43,580;44,180;25,870;91,100;0,000;Não;;
07/05/2021 09:30;NA;15,830;31,790;32,100;25,970;90,800;0,000;Não;;
07/05/2021 11:00;0,000;47,900;156,100;161,200;14,310;50,340;0,000;Não;;
07/05/2021 11:10;0,000;59,800;172,500;177,600;26,290;91,500;0,000;Não;;
07/05/2021 11:20;0,000;50,260;155,300;157,400;26,080;91,900;0,000;Não;;
07/05/2021 11:30;0,000;71,160;179,200;181,900;25,930;92,100;0,079;Não;;
07/05/2021 11:40;6,200;90,200;221,900;226,200;26,060;92,000;0,913;Não;;
07/05/2021 11:50;0,000;92,300;250,700;255,900;26,240;91,900;1,199;Não;;
07/05/2021 12:00;0,000;118,800;279,800;283,700;26,550;91,600;1,221;Não;;
07/05/2021 12:10;0,000;157,300;312,700;316,400;26,780;89,900;1,529;Não;;
07/05/2021 12:20;0,000;204,800;373,700;378,000;27,020;88,600;1,806;Não;;
07/05/2021 12:30;0,000;263,000;441,700;445,800;27,320;87,200;1,799;Não;;
07/05/2021 12:40;0,000;255,100;400,800;405,400;27,600;85,300;0,520;Não;;
07/05/2021 12:50;0,000;356,200;501,100;503,600;27,750;85,600;0,872;Não;;
07/05/2021 13:00;0,000;280,500;376,600;378,800;27,730;86,500;1,334;Não;;
07/05/2021 13:10;0,000;285,600;399,100;399,500;27,640;87,300;1,444;Não;;
07/05/2021 13:20;0,000;364,600;504,100;502,400;27,730;86,500;1,291;Não;;
07/05/2021 13:30;0,000;310,500;416,400;417,800;27,710;86,300;1,754;Não;;
07/05/2021 13:40;0,000;2,130;28,110;NA;26,330;85,800;4,586;Não;;
07/05/2021 13:50;0,000;12,180;126,200;128,400;24,630;90,200;3,675;Não;;
07/05/2021 14:00;0,000;30,440;191,200;194,500;24,520;92,900;2,334;Não;;
07/05/2021 14:10;0,000;51,590;211,700;214,300;24,660;93,600;1,507;Não;;
07/05/2021 14:20;0,000;55,880;240,800;243,700;24,950;93,100;1,648;Não;;
07/05/2021 14:30;0,000;84,300;250,500;252,200;25,090;91,500;1,477;Não;;
07/05/2021 14:40;0,000;105,000;219,800;221,700;25,300;90,700;1,977;Não;;
07/05/2021 14:50;0,000;205,400;319,400;320,900;25,530;89,000;2,559;Não;;
07/05/2021 15:00;0,000;232,700;341,700;345,100;25,590;87,600;2,242;Não;;
07/05/2021 15:10;0,000;219,400;316,400;322,100;25,630;86,800;2,074;Não;;
07/05/2021 15:20;0,000;212,500;309,000;315,500;25,740;86,300;1,618;Não;;
07/05/2021 15:30;0,000;217,800;322,700;329,100;25,930;85,500;1,845;Não;;
07/05/2021 15:40;0,000;223,800;331,400;335,300;26,020;84,900;1,550;Não;;
07/05/2021 15:50;0,000;213,600;318,800;322,200;26,180;84,300;1,603;Não;;
07/05/2021 16:00;0,000;196,000;297,000;300,500;26,260;83,700;1,648;Não;;
07/05/2021 16:10;0,000;183,700;282,500;284,700;26,240;84,400;2,073;Não;;
07/05/2021 16:20;0,000;171,400;265,400;267,000;26,260;85,000;1,553;Não;;
07/05/2021 16:30;0,000;157,900;251,000;252,500;26,220;85,600;1,979;Não;;
07/05/2021 16:40;0,000;140,100;227,300;229,200;26,120;85,600;1,992;Não;;
07/05/2021 16:50;0,000;123,300;202,700;204,600;26,140;84,900;1,818;Não;;
07/05/2021 17:00;0,000;93,600;160,800;162,000;26,130;85,500;1,387;Não;;
