Horário;Precipitação do Período;Radiação Solar;Radiação Solar 1;Radiação Solar 2;Temperatura do Ar;Umidade do Ar;Vento Velocidade;Manutenção;Observação manutenção
13-04-2021 07:50;NA;NA;NA;NA;22,660;53,520;0,008;Não;
13-04-2021 08:00;NA;NA;NA;NA;NA;54,470;0,000;Não;
13-04-2021 12:10;NA;NA;NA;NA;NA;54,470;0,000;Não;
13-04-2021 12:20;NA;NA;NA;NA;NA;54,470;0,000;Não;
13-04-2021 12:30;NA;NA;NA;NA;NA;54,470;0,000;Não;
13-04-2021 12:50;NA;NA;NA;NA;NA;54,470;0,000;Não;
13-04-2021 13:10;NA;NA;NA;NA;NA;0,000;0,000;Não;
13-04-2021 13:20;NA;NA;NA;NA;NA;0,000;0,000;Não;
13-04-2021 13:30;NA;NA;NA;NA;NA;0,000;0,000;Não;
03-05-2021 16:50;NA;NA;NA;NA;NA;0,000;0,000;Não;
03-05-2021 17:00;NA;NA;NA;NA;NA;0,000;0,000;Não;
03-05-2021 17:10;NA;NA;NA;NA;NA;0,000;0,000;Não;
03-05-2021 17:20;NA;NA;NA;NA;NA;0,000;0,000;Não;
22-05-2021 11:50;NA;466,700;858,000;1049,000;30,070;74,710;0,000;Não;
22-05-2021 12:00;NA;464,300;805,000;952,000;30,760;76,510;0,064;Não;
22-05-2021 12:10;NA;491,400;694,200;709,900;30,860;76,770;0,000;Não;
22-05-2021 12:20;NA;385,800;571,400;587,100;30,750;76,870;0,000;Não;
22-05-2021 12:30;NA;569,700;793,000;806,000;30,880;76,800;0,000;Não;
22-05-2021 12:40;NA;707,100;977,000;989,000;31,690;73,820;0,021;Não;
22-05-2021 12:50;NA;640,200;904,000;919,000;31,980;72,140;0,470;Não;
22-05-2021 13:00;NA;630,200;905,000;923,000;32,070;72,770;0,649;Não;
22-05-2021 13:10;NA;596,500;850,000;871,000;31,730;72,000;0,972;Não;
22-05-2021 13:20;NA;484,900;703,400;724,100;31,950;72,880;0,698;Não;
22-05-2021 13:30;NA;230,600;349,700;367,600;31,190;73,410;1,056;Não;
22-05-2021 13:40;NA;115,600;191,500;203,400;30,260;75,830;0,938;Não;
22-05-2021 13:50;NA;131,100;199,800;212,200;29,830;77,240;0,297;Não;
22-05-2021 14:00;NA;322,300;452,200;465,400;29,390;77,730;0,439;Não;
22-05-2021 14:10;NA;436,400;605,500;619,300;29,800;77,500;0,282;Não;
22-05-2021 14:20;NA;680,100;954,000;959,000;31,050;73,890;0,112;Não;
22-05-2021 14:30;NA;447,400;658,000;665,000;31,230;71,120;0,321;Não;
22-05-2021 14:40;NA;267,700;399,200;417,200;31,070;72,890;0,557;Não;
22-05-2021 14:50;NA;48,130;179,600;190,500;30,440;76,360;0,078;Não;
22-05-2021 15:00;NA;0,000;32,960;39,950;28,190;83,800;1,047;Não;
22-05-2021 15:10;NA;NA;24,940;29,210;25,320;90,500;0,084;Não;
22-05-2021 15:20;NA;0,000;46,010;49,510;24,810;93,000;0,001;Não;
22-05-2021 15:30;NA;0,925;67,240;72,620;24,600;93,300;0,000;Não;
22-05-2021 15:40;0,000;6,819;79,920;86,200;0,000;0,000;0,000;Não;
22-05-2021 15:50;0,000;10,050;86,300;92,500;24,650;95,300;0,000;Não;
22-05-2021 15:56;0,000;0,000;88,800;92,400;12,540;48,630;0,000;Não;
22-05-2021 15:58;0,000;0,125;90,600;94,900;24,660;95,500;0,000;Não;
22-05-2021 16:00;0,000;7,044;93,900;99,400;24,640;95,400;0,000;Não;
22-05-2021 16:02;0,000;13,510;97,600;103,400;24,750;95,600;0,000;Não;
22-05-2021 16:04;0,000;12,350;101,900;108,100;24,700;95,400;0,000;Não;
22-05-2021 16:06;0,000;27,790;105,400;111,700;24,810;95,600;0,000;Não;
22-05-2021 16:08;0,000;8,280;110,200;116,700;24,830;95,500;0,000;Não;
22-05-2021 16:10;0,000;6,835;113,800;120,800;24,840;95,500;0,000;Não;
22-05-2021 16:12;0,000;22,060;117,900;125,100;24,910;95,500;0,000;Não;
22-05-2021 16:14;0,000;18,640;122,300;129,500;24,920;95,200;0,000;Não;
22-05-2021 16:16;0,000;35,550;123,800;130,400;24,980;95,300;0,000;Não;
22-05-2021 16:18;0,000;36,790;121,400;127,100;25,120;95,600;0,000;Não;
22-05-2021 16:20;0,000;19,840;117,900;123,400;25,150;95,500;0,000;Não;
22-05-2021 16:28;0,000;0,000;101,800;106,600;19,490;73,540;0,000;Não;
22-05-2021 16:30;0,000;0,035;96,900;101,000;25,090;94,500;0,269;Não;
22-05-2021 16:32;0,000;0,000;91,000;94,700;25,040;94,100;0,005;Não;
22-05-2021 16:34;0,000;0,000;86,300;89,300;25,020;94,100;0,535;Não;
22-05-2021 16:36;0,000;0,000;82,000;84,500;25,000;94,200;0,283;Não;
22-05-2021 16:38;0,000;0,000;78,240;80,600;24,940;94,200;0,000;Não;
22-05-2021 16:40;0,000;0,000;75,260;77,640;24,890;94,200;0,000;Não;
22-05-2021 16:42;0,000;0,401;73,770;76,380;24,880;94,300;0,000;Não;
22-05-2021 16:44;0,000;0,000;74,100;77,040;24,900;94,600;0,000;Não;
22-05-2021 16:46;0,000;3,078;76,200;79,630;24,910;94,900;0,000;Não;
22-05-2021 16:48;0,000;0,119;80,600;85,200;24,920;94,900;0,000;Não;
22-05-2021 16:50;0,000;4,285;87,200;93,300;24,810;94,700;0,000;Não;
22-05-2021 17:00;0,000;33,080;146,900;156,200;22,730;86,200;0,000;Não;
22-05-2021 17:10;0,000;44,510;174,600;182,300;25,080;94,100;0,000;Não;
22-05-2021 17:20;0,000;NA;161,500;165,100;25,350;93,800;0,025;Não;
22-05-2021 17:30;0,000;22,650;157,200;157,700;25,460;92,900;0,367;Não;
22-05-2021 17:40;0,000;16,020;141,300;145,000;25,490;92,200;0,156;Não;
22-05-2021 17:50;0,000;1,566;92,100;94,900;25,440;92,800;0,033;Não;
22-05-2021 18:00;0,000;NA;57,250;58,730;25,330;94,000;0,000;Não;
22-05-2021 18:10;0,000;0,000;50,980;52,060;25,280;94,900;0,000;Não;
