Horário;Precipitação do Período;Radiação Solar;Radiação Solar 1;Radiação Solar 2;Temperatura do Ar;Umidade do Ar;Vento Velocidade;Manutenção;Observação manutenção
01-01-2022 00:00;0,000;0,000;0,000;0,000;26,960;90,100;0,245;Não;
01-01-2022 00:10;0,000;0,000;0,000;0,000;26,890;90,600;0,218;Não;
01-01-2022 00:20;0,000;0,000;0,000;0,000;26,780;90,900;0,240;Não;
01-01-2022 00:30;0,000;0,000;0,000;0,000;26,750;91,600;0,499;Não;
01-01-2022 00:40;0,000;0,000;0,000;0,000;26,850;90,400;0,405;Não;
01-01-2022 00:50;0,000;0,000;0,000;0,000;26,910;90,200;0,893;Não;
01-01-2022 01:00;0,000;0,000;0,000;0,000;26,980;89,900;0,664;Não;
01-01-2022 01:10;0,000;0,000;0,000;0,000;27,020;89,500;0,972;Não;
01-01-2022 01:20;0,000;0,000;0,000;0,000;26,940;90,100;1,075;Não;
01-01-2022 01:30;0,000;0,000;0,000;0,000;26,860;90,500;1,090;Não;
01-01-2022 01:40;0,000;0,000;0,000;0,000;26,800;90,500;1,018;Não;
01-01-2022 01:50;0,000;0,000;0,000;0,000;26,740;90,900;1,217;Não;
01-01-2022 02:00;0,000;0,000;0,000;0,000;26,660;90,700;1,548;Não;
01-01-2022 02:10;0,000;0,000;0,000;0,000;26,510;90,900;1,263;Não;
01-01-2022 02:20;0,000;NA;0,000;0,000;26,430;91,100;0,941;Não;
01-01-2022 02:30;0,000;0,000;0,000;0,000;26,410;90,700;1,043;Não;
01-01-2022 02:40;0,000;0,000;0,000;0,000;26,340;91,100;0,555;Não;
01-01-2022 02:50;0,000;NA;0,000;0,000;26,300;91,700;0,552;Não;
01-01-2022 03:00;0,000;NA;0,000;0,000;26,230;91,800;1,111;Não;
01-01-2022 03:10;0,000;NA;0,000;0,000;26,170;91,700;1,327;Não;
01-01-2022 03:20;0,000;0,000;0,000;0,000;26,200;91,200;0,727;Não;
01-01-2022 03:30;0,000;0,000;0,000;0,000;26,160;91,400;0,839;Não;
01-01-2022 03:40;0,000;0,000;0,000;0,000;26,090;91,100;0,926;Não;
01-01-2022 03:50;0,000;NA;0,000;0,000;26,070;90,400;1,179;Não;
01-01-2022 04:00;0,000;0,000;0,000;0,000;25,970;91,400;0,363;Não;
01-01-2022 04:10;0,000;0,000;0,000;0,000;25,760;92,700;0,441;Não;
01-01-2022 04:20;0,000;0,000;0,000;0,000;25,670;93,500;0,483;Não;
01-01-2022 04:30;0,000;0,000;0,000;0,000;25,530;94,400;0,102;Não;
01-01-2022 04:40;0,000;0,000;0,000;0,000;25,360;95,200;0,407;Não;
01-01-2022 04:50;0,000;0,000;0,000;0,000;25,300;95,500;0,962;Não;
01-01-2022 05:00;0,000;0,000;0,000;0,000;25,410;94,900;1,228;Não;
01-01-2022 05:10;0,000;0,000;0,000;0,000;25,400;94,800;0,988;Não;
01-01-2022 05:20;0,000;0,000;0,000;0,000;25,320;94,800;1,133;Não;
01-01-2022 05:30;0,000;0,000;0,000;0,000;25,330;94,800;1,653;Não;
01-01-2022 05:40;0,000;0,000;0,000;0,000;25,280;94,700;1,509;Não;
01-01-2022 05:50;0,000;0,000;0,000;0,000;25,300;93,900;1,576;Não;
01-01-2022 06:00;0,000;0,000;0,000;0,000;25,270;93,700;1,464;Não;
01-01-2022 06:10;0,000;0,000;0,000;0,000;25,290;92,600;1,734;Não;
01-01-2022 06:20;0,000;0,000;0,000;0,000;25,300;92,000;1,242;Não;
01-01-2022 06:30;0,000;0,000;0,000;0,000;25,180;92,500;1,389;Não;
01-01-2022 06:40;0,000;0,000;0,000;0,000;24,960;93,200;0,878;Não;
