Data;Precipitação (mm);Radiação Solar (W/m);Radiação Solar 1 (W/m);Radiação Solar 2 (W/m);Temperatura do Ar (ºC);Umidade do Ar (%);Velocidade do Vento (m/s);;;
2021-06-01 00:00:00;0.08;66.22;115.39;118.61;25.11;94.30;0.16;;;
2021-06-02 00:00:00;0.00;134.20;175.78;176.94;25.80;91.20;0.04;;;
2021-06-03 00:00:00;0.08;128.12;187.31;190.69;26.18;91.83;0.11;;;
2021-06-04 00:00:00;0.00;113.59;170.96;173.68;25.72;93.38;0.09;;;
2021-06-05 00:00:00;0.08;29.72;72.30;75.09;24.59;97.69;0.03;;;
2021-06-06 00:00:00;0.02;84.30;152.46;153.40;25.49;95.29;0.04;;;
2021-06-07 00:00:00;0.58;62.31;97.14;99.73;24.89;97.60;0.04;;;
2021-06-08 00:00:00;0.00;130.11;197.61;200.74;25.33;91.18;0.02;;;
2021-06-09 00:00:00;0.18;105.91;155.11;160.65;25.59;93.06;0.07;;;
2021-06-10 00:00:00;0.04;87.06;139.71;142.90;25.37;94.61;0.09;;;
2021-06-11 00:00:00;0.00;172.87;244.97;249.32;26.30;89.66;0.18;;;
2021-06-12 00:00:00;0.00;118.40;175.95;180.78;26.08;92.08;0.04;;;
2021-06-13 00:00:00;0.00;118.64;159.12;161.56;25.56;91.06;0.14;;;
2021-06-14 00:00:00;0.26;60.49;110.03;116.03;24.67;94.67;0.52;;;
2021-06-15 00:00:00;0.01;63.53;126.07;129.52;25.00;93.74;0.08;;;
2021-06-16 00:00:00;0.07;139.36;200.48;202.54;25.57;90.58;0.14;;;
2021-06-17 00:00:00;0.00;89.97;132.74;136.25;25.07;93.54;0.07;;;
2021-06-18 00:00:00;0.00;139.46;210.97;212.98;25.95;89.00;0.04;;;
2021-06-19 00:00:00;0.08;139.60;216.23;219.11;26.26;90.88;0.12;;;
2021-06-20 00:00:00;0.02;107.17;158.09;161.08;25.57;93.92;0.15;;;
2021-06-21 00:00:00;0.04;126.13;178.95;181.41;25.45;90.87;0.06;;;
2021-06-22 00:00:00;0.03;100.59;172.88;173.96;25.21;94.18;0.21;;;
2021-06-23 00:00:00;0.08;138.47;177.69;182.83;25.20;93.19;0.13;;;
2021-06-24 00:00:00;0.00;112.62;177.69;182.81;25.21;93.16;0.05;;;
2021-06-25 00:00:00;0.00;148.82;222.04;222.75;26.63;87.11;0.09;;;
2021-06-26 00:00:00;0.04;106.40;167.06;171.79;25.79;92.27;0.05;;;
2021-06-27 00:00:00;0.10;133.01;192.54;195.22;26.05;89.76;0.13;;;
2021-06-28 00:00:00;0.00;103.30;171.89;175.87;24.50;94.06;0.04;;;
2021-06-29 00:00:00;0.05;111.42;176.64;178.48;24.97;93.63;0.38;;;
2021-06-30 00:00:00;0.00;35.02;70.19;74.40;21.54;96.05;1.55;;;
2021-07-01 00:00:00;0.00;90.66;132.76;137.37;20.58;88.79;0.86;;;
2021-07-02 00:00:00;0.00;125.93;207.23;210.50;22.39;85.95;0.11;;;
