"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/06/2021";"0000";"27,5";"90,0";"";"1,0";"360,0";"7,5";"1,10";"28,7";"";""
"01/06/2021";"1200";"23,2";"98,0";"";"1,0";"140,0";"10,0";"";"";"";"9,4"
"01/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/06/2021";"0000";"25,5";"94,0";"";"0,0";"0,0";"2,5";"4,50";"32,9";"";""
"02/06/2021";"1200";"23,6";"98,0";"";"1,0";"360,0";"8,8";"";"";"";"3,0"
"02/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/06/2021";"0000";"";"82,0";"";"1,0";"140,0";"7,5";"4,40";"33,1";"";""
"03/06/2021";"1200";"24,4";"97,0";"";"0,0";"0,0";"10,0";"";"";"";"0,0"
"03/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/06/2021";"0000";"25,3";"95,0";"";"0,0";"0,0";"10,0";"3,10";"32,7";"";""
"04/06/2021";"1200";"24,0";"98,0";"";"0,0";"0,0";"8,8";"";"";"";"12,6"
"04/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/06/2021";"0000";"25,7";"95,0";"";"1,0";"360,0";"0,0";"1,00";"29,1";"";""
"05/06/2021";"1200";"24,0";"98,0";"";"1,0";"360,0";"3,8";"";"";"";"3,4"
"05/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/06/2021";"0000";"24,6";"97,0";"";"1,0";"360,0";"0,0";"";"";"";""
"06/06/2021";"1200";"";"";"";"";"";"";"";"";"";""
"06/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/06/2021";"0000";"";"";"";"";"";"";"0,00";"29,5";"";""
"07/06/2021";"1200";"24,0";"98,0";"";"0,0";"0,0";"10,0";"";"";"";"51,6"
"07/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/06/2021";"0000";"23,6";"98,0";"";"1,0";"360,0";"10,0";"5,60";"32,7";"";""
"08/06/2021";"1200";"22,8";"99,0";"";"1,0";"360,0";"8,8";"";"";"";"30,5"
"08/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/06/2021";"0000";"26,3";"93,0";"";"0,0";"0,0";"3,8";"3,20";"31,5";"";""
"09/06/2021";"1200";"23,6";"98,0";"";"1,0";"180,0";"10,0";"";"";"";"24,4"
"09/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/06/2021";"0000";"26,9";"91,0";"";"0,0";"0,0";"10,0";"0,80";"30,9";"";""
"10/06/2021";"1200";"23,6";"98,0";"";"1,0";"50,0";"8,8";"";"";"";"1,5"
"10/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/06/2021";"0000";"25,7";"92,0";"";"0,0";"0,0";"0,0";"7,00";"33,5";"";""
"11/06/2021";"1200";"23,8";"99,0";"";"1,0";"360,0";"7,5";"";"";"";"5,2"
"11/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/06/2021";"0000";"26,5";"90,0";"";"1,0";"360,0";"0,0";"3,30";"32,9";"";""
"12/06/2021";"1200";"24,4";"99,0";"";"0,0";"0,0";"6,3";"";"";"";"0,0"
"12/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/06/2021";"0000";"25,1";"91,0";"";"1,0";"360,0";"10,0";"";"";"";""
"13/06/2021";"1200";"";"";"";"";"";"";"";"";"";""
"13/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/06/2021";"0000";"";"";"";"";"";"";"0,30";"29,1";"";""
"14/06/2021";"1200";"23,2";"98,0";"";"1,0";"180,0";"10,0";"";"";"";"32,4"
"14/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/06/2021";"0000";"25,5";"91,0";"";"1,0";"360,0";"10,0";"0,30";"30,5";"";""
"15/06/2021";"1200";"23,6";"98,0";"";"1,0";"50,0";"10,0";"";"";"";"1,2"
"15/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/06/2021";"0000";"25,7";"91,0";"";"0,0";"0,0";"8,8";"3,60";"32,3";"";""
"16/06/2021";"1200";"22,8";"99,0";"";"1,0";"180,0";"7,5";"";"";"";"9,0"
"16/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/06/2021";"0000";"25,9";"90,0";"";"0,0";"0,0";"5,0";"1,80";"31,1";"";""
"17/06/2021";"1200";"23,8";"97,0";"";"1,0";"180,0";"10,0";"";"";"";"0,0"
"17/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/06/2021";"0000";"25,3";"94,0";"";"0,0";"0,0";"6,3";"5,40";"33,9";"";""
"18/06/2021";"1200";"22,8";"99,0";"";"1,0";"360,0";"7,5";"";"";"";"0,0"
"18/06/2021";"1800";"22,8";"99,0";"";"1,0";"360,0";"7,5";"";"";"";""
"19/06/2021";"0000";"27,3";"88,0";"";"0,0";"0,0";"0,0";"6,30";"33,7";"";""
"19/06/2021";"1200";"23,6";"98,0";"";"0,0";"0,0";"5,0";"";"";"";"5,2"
"19/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/06/2021";"0000";"25,9";"94,0";"";"1,0";"180,0";"8,8";"";"";"";""
"20/06/2021";"1200";"";"";"";"";"";"";"";"";"";""
"20/06/2021";"1800";"";"";"";"";"";"";"";"";"";""
"21/06/2021";"0000";"";"";"";"";"";"";"2,90";"31,9";"";""
